timestamp,graphname,heuristic,seed,limit,objective,runtime,solution
2024-11-11 15:09:36.386471,g002805,PALUBECKIS2004bMST2,144,0.171,16404368.0,0.172051,111111111111000000000000111100001111000011111111111100001111000000000000000011111111000011110000000000001111111100001111111100001111000011111111111111111111111111110000000101010101000101010010010000001101000001010011011000011010010101101100001001100100111110000100111001110011000011001011010100110000011100111011001000010010010100111100111110111011010010001111111011100000011001110101000111101100001110101000010001100001001000011101010001011110010111001001010000000
2024-11-11 15:09:36.563046,g002805,PALUBECKIS2004bMST2,244,0.171,16404450.0,0.171962,000000001111000000000000111111110000111100001111111111110000111111110000000000000000000000001111111111110000000000000000000011110000000011111111000000001111000000001111010010100000010110100100101110011110111101101011101111101101101110110111010100011111010111111110101111001101101101101010111111010111100010000110110011100100111110000011101001000000100101110010100101110001010010011111000110101110010110101110010100111000011111011100101000100111111000111110110011011
2024-11-11 15:09:36.743477,g002805,PALUBECKIS2004bMST2,344,0.171,16404397.0,0.176229,000000001111111111110000111100001111000011110000111111110000111100001111000000000000000011110000000000001111111100001111111100001111000011111111111100001111111100001111010101010101000101010010011110011100010111100011010011011010010100100001100011100100111101110100111101000000111111101110100101010101111000010001011001011110100100111100101010011111010010001110101010001101001101100100010001111001101011100101000110011100010111000101010100101011110111001001010001001
2024-11-11 15:09:36.920139,g002805,PALUBECKIS2004bMST2,444,0.171,16404432.0,0.171845,000011110000000000001111000000001111000000001111111100001111000000000000000011111111111100001111111111110000111111111111111111110000111111111111000011111111000011110000000010100000010010100000000001100001000010011100110100000001001011001010111010101100000000001010011010011110010000100101100110001000011111011000110100001000011001110111111110100110101011101111111110001000000100111010010000010111110000010111111110011110110110111011011001011110001000100000100010010
2024-11-11 15:09:37.100328,g002805,PALUBECKIS2004bMST2,544,0.171,16404431.0,0.175435,111111110000111100001111000000001111000000001111000000000000111111110000111111111111111111111111000000001111111111111111111111110000111111111111000011111111000011110000000110100000000010100000000001100001000000011100111100000001001011001110011000101000000010001001010010011111000000110001110011001000011001011011011101010011010011111100010101111001011110010001010101011010110010011011101010010110010100011010111001100011101000101011011011100100000011000000100010010
