timestamp,graphname,heuristic,seed,limit,objective,runtime,solution
2024-11-09 15:33:45.269599,g001025,PALUBECKIS2004bMST2,144,0.199,4874.0,0.19947,10110000110001110111010100010010001111111110110111000011111101100000011010110110101110100011111001111011101100000000010001010000011101001011110100000110010101111000111011110110111011011010111010101010001011111100111111111101000111011001111111110101110110000000100001100011111010010000000111000010111100011010010101110000010001011101011100001100101011110011001111110111010100000000110000111001100010110111011000111110100101110101010111001000101010100111000000111110110011101110001010111010011100000000
2024-11-09 15:33:45.479176,g001025,PALUBECKIS2004bMST2,244,0.199,4841.0,0.204535,00111000001001000000011111000100011000100100011000110011100010011110110110001001100011110101100001001010110100001010101111111010111111100010111011011000100001001011000000000101000100000101010111111100110100101100100000101011111011011011100100110111000101000001001000011100000001110101111110011001111011101101111000111011111110101010001100001100010011010111110000111111011011010011000011010110011101100010101100001100011100111100110011000000101101111101110101110011110011001110101111001000100001011011
2024-11-09 15:33:45.683740,g001025,PALUBECKIS2004bMST2,344,0.199,4890.0,0.199629,00001001101111001000110010010100011001000101000001001110000000001110101111001011111011011111111010110001110011101010001001001111100010111101111100011101000001001011100100001011101110101111011101000110110110001001000000101011011010101000000100111111101001000101011100111100100101101101111000101000111011010001001000011111110110100000001011110001010000001100110100011011001010111101001011000100101110001010100101101110010010111100101001100111011101101000111100111001101101010001110110110001000111101011
2024-11-09 15:33:45.888741,g001025,PALUBECKIS2004bMST2,444,0.199,4894.0,0.200284,00001101101111001000111011000100111001000101000000010110000010001111101101001011011001011100111010010000110011101110001000001111100010110101001110111101100001001111100100001011100100111111000101001111110100000011000000001011011000100110000100101001101001110101011110111100100101101101111000101001011011100101101010011111100110100000101011110011010000001100110100011000001011111101001111000010011100001000100101001101010010111000101001110111010101101000111101101001100100010011110111010101100011101011
2024-11-09 15:33:46.097770,g001025,PALUBECKIS2004bMST2,544,0.199,4906.0,0.204453,11111110011110000010001001101101010110011000101100111101101100010101111100011000011101010100000111000100010110011111111110101011001101100000000011101101111110100101000100001000000001010100110011010001010001110001100000100000011001000110100011010010011101111010100010000010000000100110010101011101100111101100101011101111001011001101100110010001111110000011111110101100101001010111001101111011011000000111011110010000010100000010101000111101110001010100110011000000011100001100111001001101100001010100
