timestamp,graphname,heuristic,seed,limit,objective,runtime,solution
2024-11-09 16:17:40.360512,g002145,PALUBECKIS2004bMST2,144,1.72,989.976273775777,1.730046,10110011110111010101110010100110111111111100000000000000010010000100100001001101111011111101011110111011011111111011110100000001000010000000000001000001011010110000011101011111111111111111111111011110100010000000000010000010101001000010101101000010100111110111111111101111001000111101010000010100011010100010010101001101110100101110101101011111100000100101000111101110010010000010111000101110000110000111101011000010101011001010100111001101111111111100100101000101100011000000000100000011000000000011011011110011111111111011110110011111001000010011101001001101000101001000101010100011011110111111010111100111011010010110001000110000010010011010001001011101010011010011110111101001000010001100111110011000110011000100000000000101101011110
2024-11-09 16:17:42.125863,g002145,PALUBECKIS2004bMST2,244,1.72,990.390649189681,1.720072,10011001111101110101010111101011110111100100010100000000010010000100000001001101011011110101011110111011111111111011111001010001000000000000000001000001010010110001111101011111111111110100111111011100100100000000000100000010101101000110111111001010000100110101111111101011101010011101000000000100011110100011010101001101011100101110101101011111101100100101000111101110001000011011110000001010000010010000100011100100111001101110011101111101111110111100101101101100100011000000000100000011001010000011001010110011111111111011100110011111101000100010101000001101000001000000101010111111011110111111110111100111011010010010101000110000010000000000000000011101000011010111111111101111101011101100111110001100110000001000000000000101101011101
2024-11-09 16:17:43.890251,g002145,PALUBECKIS2004bMST2,344,1.72,990.337258087128,1.721227,01100100001000001010001000011000001000010011101111111111101101111111111110110010000100000011000001000100000000000000001011111110111111111111111111111111100101001110000000100000000000001010000000100011111111111111111101111111010000111001000000110101011011001000001000010100011110100010111111101011100001011100101010110010101011010001010010100000011111011010111000010001100111100110000111110101111011101110011000011011000110010001100010010010000001000011010010111011011100111111110011111100110100111100010101001100000000000100001001100000010111011111010111110010111110111111010101010100100001000000001000001000100101101001010111000111101111101111111111100011111100101100000000010100110100010001001000100011001111111110111111111110010100001
2024-11-09 16:17:45.656925,g002145,PALUBECKIS2004bMST2,444,1.72,990.470360923578,1.725346,01001110000000000010000000010011000100111011111101110110111101111111111111110010001100000010000001000100000000000100000111100100110111111111111111111110101101101110000010100000000000000101000000110001010010111111111000111111011110111101110110110101100001000010000000000000010110100000110011001111110111111111111011111001001101011001010010100000000111100000000000000011000011100110101111111101111111101111011101111111010110010000000010000000000000000011010010010011111100111111111111111100110111111100010101001100000100000000010001000100110111011101010111110110110110111100010101001000101000000001001000011101100001100101010111100111111110101111111101100010111100111010000000110000000100001010000001110011110111111111111111110011010101010
2024-11-09 16:17:47.424142,g002145,PALUBECKIS2004bMST2,544,1.72,989.668713674111,1.724957,10011001111011110101111111101011101111100100000110000000000010000000000001101100011011110101111101111011111111111111111001011000000000000000000000000001010010111001111101011111111111111111111111010000100100000000000100010010100000000110101111001110111100100101110111101010111010011101100000000100010110100111010101001100011100100011101100011111101100110101000001101111011000011011110000010010000010010000100001100100111001101110011101111101111110111100101101101100110011000000000100000011001010000011001010110111111011111011100110011111100010110000001001000101000001000000101100010011011111111111011111111111011001010111001000100010000000000000000001010101000111001111111111101111111011101100111100001100100000000000000001001101101010101
