timestamp,graphname,heuristic,seed,limit,objective,runtime,solution
2024-10-13 18:03:02.067940,culberson59,PALUBECKIS2004bMST2,144,3.557,2067.0,3.596101,100110110110111111000001001100100101101100000110010101111111001100000111100100000110010001110001000110110100101000111100101110111000110000000110011000011001011011111101101010011001111101111111011110000011000001100111001110100111011111111000011101000100111010010100110110011101000001110011101110110001101001111110011011110111011100010001011111001111001110001001011010101100011011111100001010100011011101011111010010111000001110100000101010011001010110110010000011111100010100110000000000001100101110010011101011010001110100101101111111101001100001011000000000101001000010110000011010101110001000101011000101110110110111001000110001110001010101101100101111110111101111001100110001000101101100100110011110000011000110001111000111111010010110000100100010100110101110000011110011010011101001010110101000111000000010000111101111110011011011010001101100011111010100001001111011100000101000000111000010111011100110001001000010010101101000111100011100111010000100011110000000101100010001110111111100000100101001011000011111010010011011001100010001001000010010010001100110100010110001011000100001010101001111101100101000010010101110000110100101111101101111100110110101100101010001110101111100011111001100111100010110100000000111000110001010011101100101100010010100001001101011001110110000011001000011101000010010100011100001111010000100111010010011100000000010110011001100101111110111110111101010001100010011110011101111001000010100101011110001001100101101010001000000100011011001011101101000001011100111110001010100101011100100011011100010010101110111011000100101111111000000110000000101100001001100010100100010001001100011100101000000101100000111110011001011011010010010101010100010110000001111101100101111011000010110100000110110000110100100011001011111000000001110110010011110101111011100100011011101000110101111010111000010111111110001111110111110010110100111100101001111100110011010111100001011011101110101111111110000111001010110001110000011010001101000000100011110000000010101110010001110010100001010000111100001010011010110010101110001010011011111001100001101010000010011010110110110110001000110001110010100110101111010100100010111000011000010000110010010101010011101011111110000000110111011101111111011001111001110001
2024-10-13 18:03:05.691478,culberson59,PALUBECKIS2004bMST2,244,3.557,2052.0,3.601315,100101001010100111011101111011010011010001010110001011111100110001111101001010111000111101100101011010111111101100010011010001000100000011000100100011001100100100101100001110100000100000101111111001010110011100010101111111101101101101000011110011001011111001001010111010110010101110101100010001011011100100101111101101011010100010101110011010011100100110111000100011100110100110111111110101000001101110110011101010101010110101000111011101100001011000101001010101011111001101011001111010011110001000011101011101000101110101001111001000100110101101101001000001110101010100101010010111111001000011111100111011111011011101000110100101101011010000000111000000011001000010101110000101101111000001101100011011011100011000100001011110000011111000011110010001010001000101011101101000001110110011001000100101101100011110110110000001100111011001111110000001011010101100011000010100100111010100001100110000010110001111110000110000001011100111110100111110011001101011000001010011010110100101101000011100101011100000000111010111100100010100011011001010111011010101011101101100010001001010100100001110101011101110010001101111000011001110110111100000010011100101111011000110001010001110100010101110100010101110010000000100110110010010001101000001101011011011101101000111111010111001111111100011111101111100010111011110111011110011011000101010000011111111101001110111110111000100101010000000001100001010110000101100001000111100000110000001101101101111111010010011100011101010011001110100110000010110100011110010010001101000001101111011110001101100101100101100101001101101111001100100110011011100111100010001100010010001111011110110011001001100010010100010000111010100110001010101010101111000111111110011001100000001010000011001110010101001101001011101011111101000001000100011001101001101011100110110111100110111100111110010000001000110111010110110100000010111011010011101100011100010010101111110010000000111101001100110000110000101010101100101011000111100010111101100110010001101111110101110111001101111111000101101111000011011001011011000110010010100101100100100111011000110111101100101011011011101101110100010101010000110011100011101011000001010101001011111111000111110110011100000100000001011100000011110001001000010010101100011000
2024-10-13 18:03:09.314735,culberson59,PALUBECKIS2004bMST2,344,3.557,2075.0,3.600738,010110011111011110111011111110110011101001000101100100010101111101111010001100101101110011011111101100000101101100011000101101101101110010001000110011111001110011000101001011001001100011011001011110101110001100011101101100000000011100110001000010010101101101111100101110101101111001101000010001001000011110110000101111101010010000111010010000001000111111010101101011001100010101111011101110101110101010100001001110101110110011001101100011000011001110001010110100001010011001101010111010111011111011001111111111000110010111110001010000111110100111000000100101000101000010001001010101111011000101100100010110011101010101001001000100111010010111101010100000011001001011010001101111000100101110101000111111000100111111111110101010100011101000100010000110000110010000001001111011101101101010000110101010101100001100110110111010111101011111110100010001100010000000011101010001111111011011001110110101110000111100110011111001000111001110100011010011011011111110111011100110111001111000111101000000101111101110111011011111100001011101000100111000011100111000100100001011001110110111100111001101100100110110000101011010111000100101010011000001010010010110000011010110011010110110011110110011101011101111000110100100011100110011010111110011001111011001010000101001100100101111010110100000000110111111000011100110011110111011011001101010011000001010100111101000010001100011101010000001001000001100010111001111100100011101000110111011101011100110011010100110100111111110010111110011100001101010110110011000111100010001001000010101101000010110000011001110001101011000010000010110100011000011100101110100010011100001111100110101010101101111101010001100100000111100100010010010110100110001011110100100101100010100100011011011100110101000010011011010111100100001100010101111001101101010010000110111100000101101101110011001000101011011000000011100010010010100110100011110001001111010001111001100011100110111001100011011111111010011000101001111000001011101000111101111000100010000001011100100000010110011110011110101101100000101111101101101100110010110110100101111001100011011111101001001010111010010011101010010000010001011000000111100001010001101110101110110110110000111110100100000000100001111001000111011011111101011000101011011011
2024-10-13 18:03:12.937187,culberson59,PALUBECKIS2004bMST2,444,3.557,2111.0,3.600203,001101010101110001011000101000000011100111000011100100010101011100101111001100100101001111101011110100000101111101101110100101001100000000000000010101101011011111101001011001011011100111101000111111111011100101110101000011000001000111111011100011010111001101011101001111100111110001001000000011001000001110111000010011101000011000101010001000101100111010011111101011111100101111111110111010001100101000100101011110101110100111001001100010100111001010001100100110000010000100010000110000110011110011001111101111000100010111111000010001110100100011000110101101000010110010001011011100110111010101000101110101011001011111100000010001111000100101011000101000010001001110110001111111001010101110111010100001100110110011111111111101000011001101101111010110000110010101010001111011101010001010000111101011101000010010010111111100011000001111111110110011000010010111011001010111110111001000001101101101100011111100111010101101100110000110110010001111010011111110011110000110111000110101111001010010101100001011101001001011111001011010000100111100110110000000111100001110011010110110110111000100110100110001000000011001111011100001000110101001000010010110000011110010011010111110000111110011100000101001000110111110111100110001100101110011000001110111111010101001101111110100110000100000000000110110010111100000011100110011111010101011011100101010101111101100101011110001110000000011010000001101010001001111110001011100000110111101001001100000111111101001110110011110000101101111000001100001100110011000010101111011111000000011001100010010110011001011000101010000011100010110001110110011100111011110100001111000110100000001000101111111001111011001100110101110100010000010010110100001110110000000101111000100111000011010001001100000010100111010101000100010110010101111100001101010001000000010000100001001111110011001101000111010110100000101011010010111101000110010001000011110001110011100110001100101010100001001101000110010101110011111100010010001000110100110011110011000001010100100011100000101100110110101001101111100110010010011110100011110110110111101001100011011111101100100110101011000011111011010010000011001101100011110001110101111000111111100111110110110101100100101000100101110101100010000011100101000111111011011001
2024-10-13 18:03:16.569419,culberson59,PALUBECKIS2004bMST2,544,3.557,2071.0,3.606275,011110010110101010111010001010010100001101001011100101111101011100010011100100010111011001100101111010000001001010101110011010000011010100000100010001101000011111011011100011010000011111101110101001011001101100110110001011001101101001111000101110001100011001010000111011110101101000010100001111111011001111111110110000100100001010101111000000000111000010111101110111111111010100100000000110000010101011011111011111100111101111101111100101000110111110111010111001101001010100100000111000111100110011101101111011110011110101001101110111011011100111011111110001101011110110000010100010110010001010000011111110001010101101100010000011100100010011011111010010011111101111101100101111001100111101100100101101001101010101111111111000100001101001101010111100010000101110011000010001011010000111111110001001101100110100000010110010010010110011110000100001001000000110101011101010000111101010000000101110100101001011101111000100010110000100000011001001010100000110100100000111010110010101011010111000001101001110010101010101001011110000001100110010011011010101010000101101001010100111011110000011010100111111000000001010111001101010001110100010111001110110110100111000000001011011000110010101010011111110001101100101000110000000010010000111111100100011111000000100100001110001011000010010101100010110100000111100101101011101011000101101111011110111101010110101000111100111101100110001011101001010000111011111101110010101000101011000101011001001011100000101111110100001110011011111001101101100111100111001111101101100011010000101010000111000001001111111111100101001100010000111010100010110101100100011110011100011001111101100000100001100101110001100000100111101110011110000111000010011111101101110001010001110110101101101011100011101100001010000101000010111010010111000110010111010100010001011111101001110110110001000001010011011010100010100011000001100110010100111111011101111110100001000011001110111000101000110001111000111100100001100101100010001100010000001101100100100101100111110110010100010000101011011100000110000110011010110110011011100010001001111001000001010100101000001001011101100011111000110100010101100101101111010100000010110111000011111110011101111111000001111011000000011101010111101110010111011110010100010101
