timestamp,graphname,heuristic,seed,limit,objective,runtime,solution
2024-11-09 08:39:32.262221,g002165,MERZ1999GLS,144,0.18,20240.0,0.180098,11010110011000101001100001010110010100000101110000111100101111111101000010001101111111100110010001001111100101001011111000011011110001001000001100100111011001111011101001001000111110110000111001110010
2024-11-09 08:39:32.449560,g002165,MERZ1999GLS,244,0.18,20541.0,0.180049,01101101100011000110011000010100000001101000011000110010011001010111000100010101111010100100100010000011110000111001011001111010001110100110100101010000110101001010100110100101001000001001110100010100
2024-11-09 08:39:32.637553,g002165,MERZ1999GLS,344,0.18,20541.0,0.180105,01101101100011000110011000010100000001101000011000110010011001010111000100010101111010100100100010000011110000111001011001111010001110100110100101010000110101001010100110100101001000001001110100010100
2024-11-09 08:39:32.824812,g002165,MERZ1999GLS,444,0.18,20541.0,0.180071,01101101100011000110011000010100000001101000011000110010011001010111000100010101111010100100100010000011110000111001011001111010001110100110100101010000110101001010100110100101001000001001110100010100
2024-11-09 08:39:33.012161,g002165,MERZ1999GLS,544,0.18,20541.0,0.180047,01101101100011000110011000010100000001101000011000110010011001010111000100010101111010100100100010000011110000111001011001111010001110100110100101010000110101001010100110100101001000001001110100010100
