timestamp,graphname,heuristic,seed,limit,objective,runtime,solution
2024-11-11 20:01:15.562335,g003238,MERZ1999GLS,144,8.723,126273.0,8.72657,11011000110101100011010010011100011111001001011100001101011001010110110001000011001101110001001111011101010111010100110111101000111100011101000110100100010010110000011111110100100011111111100001000111101001011100000000101011110110011000001011110110101010011011001010111001100010101010001100111110110110101010001111011001110001001101110000011010101010100100010110110101100111000110111100011001000101101111111000111111111010110110011111001100111101111001000100101111111001100100011100110110000111000101001111110011110011001011110010100011100111110010110110101110011000000010101001010101011000011000010100010001100001000011101110101001010111000001110011100101010000000011011011001001101010001110010010010011001010100011111101010001001110110011011011110111011100011100101010100100101001110111011000001010111000000000001011000011011001010100101110000111100011001010001110101101110010101101101000100010000010000010010001001101111000001100110011101010110001100001110000000111010110100110110100011111110100110100100100101100010000100000010101001111100101000001111101100010001110111100000001000111001000101101101111001101101011101001010011011
2024-11-11 20:01:24.486424,g003238,MERZ1999GLS,244,8.723,126223.0,8.724766,01011010010101111010010011011100010111001011110100101101111001100111110111011010001111101000001111010101010111000110100101100100011101001111101111101100010010010011011111110001100010010100111010000111011101001000000000001011001010111001110111110111100110011011000110111001000011100010001100111110111011101011101100010000100100011101110000111001100011110111010111100111100111000110001100000000011101101001110001111010111000100110010101010110101101101011000011100011111011101100011100010110001011000001001111110010110011111001000000001000100011110010010101101000101100000010101011100100001000101000101101101101100101001011101100111001010111001001111011000101010000100000001011001110111000101100001011010111011100100010101000001101101101100110011010000111111110100000111010100100111011100111001100011010111000000000111001101011111100010101010110001001000010001010001100001101111010101100010101110011000010000011010101000101100000101000110011101010100011100001100010011111110101101100110000011100111101110100010010101100010010101000100101000000010111010100111000000110001111111101100000001111011010101100101111001001101010101101110010101
2024-11-11 20:01:33.411032,g003238,MERZ1999GLS,344,8.723,126222.0,8.725045,10001110010011011100011001000100010111010001010000011110011100100100110000010001011100111101001100011000110010100110001001010010110111010011001101101111110100001111010101110011100100100111011111100001101000010010000000001111110110011111101010110101110111011000001010101111100000101100101001110011100111001100110100010000001010011001110101101000000011110101111110110011001101110110000110000110010000101111001111111010011101010011011100011000001101000001010010101010110100010011111101010010000111110000100011101001100010011000001010000001010110111001000011011011011000000111101010110011000100000001011111111100100001010011110011100100011011000101010010000000101101000111100101001010110001101001111010010011101101011110110101000001001011100110011111110110010111100011111110111110110001110010001110111010110101000111101011001001101001011101111110001110100001000011011101100101000000110101011100110000100110011111000010010101101000000000101001111101101011110100101001001100011000110111100010101110110100110101110110101100001011010101110010011011111110000101110000010111101010111111011110100111000100101101000011100001101000101001100100010
2024-11-11 20:01:42.341072,g003238,MERZ1999GLS,444,8.723,126328.0,8.723308,01001000010101111011010011110100000111001011101000101101111001011110110001011000011111111001001110010101010101000010000011001110010001001011001111110101010010000010110011110001100111011010101010000011110001001000010001001011010111111001100001010111100110011110001010110001100010100010001100111010111011101110101101011100101101011111010100001000101000111011010110111001100110001110001100111111000001101000111001011111111110110111010101000111111100111010000111111011110000101000011000110011110000000111001111100001110001001111000100100011100011110110010110101010000110000011101011000101001000111100011101001001100000000011111111101101010111001111110101010111011000101010101011011100101000101101000000110001001100101010111011011001111101111100011010110111000100101001011010100110110011100011011010001000101001001001101000101001010101100001000110000001000001101110001010001101011110101100011000110000000110000010100000000100111000101111110001100011110001100111010001001100000011101110110000111101010101110100000101011100010100101000010101000110110110110001111011100110001111101101101010000101011010011100001111001001101000101011100010011
2024-11-11 20:01:51.271262,g003238,MERZ1999GLS,544,8.723,126290.0,8.723883,00110111101111000101101100001011111000110100011011010011000110000001001110100111110100000110110001101010011010111101010110110011101010110100100000011100101101111101001000011110011000101010010101111110000110110101111110110101011000000010001110101000011000100101100101011110011101011101110011000001000100010001011010100111110010110000000011110110011110101010001000001010011000111001110101011101111010010000010110100000000011001001100010101001100000001101101000000100000010011111100011111001000110111010110000001100001100110000111011111100011100001101101001000101011101101100110100011010110111010111101011000110010010110100000010010010101100101110001110111011101111000111010100100101110111010001111101001110110101011101000111100010010010011111001100101000101101111110000101010001011100000100100001100101010110111111110100011101101010001010111001111000111110110001010011110010010100010011100010011101110001111000111101011011000111010101001110010100001111011100101111110110101110011001001111010001001010001011000111010011101011010111001010111001001001011110000100111000110000000000010111111000100101000010110000110110010111010100011101001
