timestamp,graphname,heuristic,seed,limit,objective,runtime,solution
2024-11-09 09:01:54.009785,g001943,MERZ1999GLS,144,0.402,10956.0,0.402216,010101001010110101010110101010101010110101011010110101000101010010101010101000100100101010101011101010010101010101010110100110101010101101001010101101010101010101010101101010101001001011010101010101010101010101010101010010101010101010101001010101010101010101010110100101101010010110101010110101101010101010111010101011010101010101001010010010101010101001010101001010101010101010101010110101011010110101011010101010101010101010101010101000100101010011010101110101010010101011011011011011010010100010101011010101001010100101010010101010101010101010101010101010101011010101101010101010101010101010101010101010100101010010101010101010101010110100101010101011010101101010101010101010101010010110010101010010101001010101010101011010101101010
2024-11-09 09:01:54.416217,g001943,MERZ1999GLS,244,0.402,11009.0,0.402128,010101001011010101010110101010101010110010111010110100100101010010101010101000111000101010101101101010010101010101010110101001101010101100101010101101010101010101010101010100101001001101010101010101010101010101011010110010101010001010101001010101010101010010100110100101101010010110101010110101010101101010111010101011010101010101001010101100101010101011010101001010101010101010101011001101011010100101011010101010101010101010010100101000101101010011010101110101010101011011011010011010110010100010101010101001001010101101010100101010101010101010110101101010101011010101011010101010101010101001010010101010100101010100101010101010101010101011101010101011010101011010101010101010101010101000010101010010101010010101010101011010101010101
2024-11-09 09:01:54.823442,g001943,MERZ1999GLS,344,0.402,10945.0,0.402089,100101001010110101010001010101010100110010101010110101000101011101010101010100111010101010101011101010101010101010101010101001011010101101001010101010101010101010110101010101001001001011010110101010101010101001011010101010101010101010010110101010101011010010101010100100101010101001010101000101010101010101111010101010101010101010111010101101010100101011010101010101010101010110101011001010101010100101010101010101010100101010010101010100101101010100101010010101010101010100111010011010101101011010101010101010110010101101010101010101010100101010110101010101011011010101010101010101010110101001010101010101100101010101010101010101001010101011010101010101010101010101010101010110101010101001101010101010101010101010101010101010101010101
2024-11-09 09:01:55.230538,g001943,MERZ1999GLS,444,0.402,11021.0,0.402217,010101001010101010101110101010101010110101011010110101011010100010101010101000100100101010101010010101010101010101010110100110101010101101010101010101010101010101010101101010101001001010101001010101010101010101010101010010101010110101101001010101010101010101010110100100010101010110101010110101101010101010111101010101010101010101001010010010101010101010101010101010101010101010101010110101011010101010101001101010101010101010101010101000101010101010010101110110101010101011011010100101010110100010010101010101001010101010101010110100101010101101001010101010101010101010101001011010101010010110101010101010101010101010110100101010101101010100101010101010101010101001011010101010110101010110010101010101010101011010010101011001010101010
2024-11-09 09:01:55.638627,g001943,MERZ1999GLS,544,0.402,10954.0,0.403381,110101001010100101010001010101010101001101001010110101010101011101010101010111000110101010101010101010101010101010101001010110011010101101010010101010101010101010101010101011001001001010110110101010101010101010100101001010101010110010010110101010101010101101011010100100011010101001010101001010101010010101011101010010101010101010110101010011010101010010101011010101010101010101010100110010100101101010100101010101010101010101101011010111001010101010101010001010101010100100100110100101010101011101010101010110110101001010101010100101010101010101001010010101010110101010101011010101010101010110101101010101001010101010100101010101010101010100010101010110101010101011010101010101010101010111101010100101010101010010101010100101010101010
