timestamp,graphname,heuristic,seed,limit,objective,runtime,solution
2024-11-12 06:35:18.778265,g000281,MERZ1999GLS,144,47.485,2881410.59987347,47.489483,011111111100011110110100000001110000101010110000111011010010111011110110000110011001110110110000011000000111101110111100101001100110110101010100000010110101101010111111010110111111001101110000010110000010010010011110101111110010001101100010001001001000111110000110000111010000000001001001000010000110011010110110101110000101100100101011101111110001001110010011101101101010011110011110010001011011010111000100111101101010011001100100100010010010100100000111101001001110110110010111100100000101001101101100000101010011001001000100110001111010110011111011011100101001010010001110101001110000000101011111010011001101110010111001111000010001011111010000010110101000110000011110101001110010111010011101110100001000000111011110001100111101011001001101010100111000011101010011111001011010100011001100011110100001111100111001010110001101001100011101000110010000011011101110001011000011110011010010010100101101001111000000100011010110101001001111000010100010011100000001001001100110100011011011001111101100111000001000110111011101100011100110111101000011110010000111111001101001011111101101101110011110010111001111010010011000010010001001110101111100010111001010100101111011000101111111101111000101100100011110111111001001011000000101111001110001101000001110111111010110111101001011101101001011111000000001000101000010010110011101001000011111110001101111001100100110100101011101100001110110111011011100011111111101011010101000000010010110110000101001101111101110000000100101011101111001100110100011010100110101011100001011010101100000001001010100000001110010111110001110111101001011111001111010011101001011100001010000001000011100100111001011011100101000001100110110010000101110010001001111011000001110011100001001101010011000010111000111000111001001000110001001001110001010100101000010011110101110111001110011100011010000111101110001110110110110001010010110111010001101100001010110011110010100000010001111001100001000110100111101011000100000101110011001001101000101011000011011010001001011010011110001011110101000111000011101111100110001101001000000011011100001000110000011000000111000111101001100000111101101011101011000110101001110101111100000000011011010000111011011101110110011101101101000110100100001101010011101101011101011010011010111100001110111110111101011110111000111111101100010001110000100001100011000010100011011101110011000011111101101110100110001101111011101101000000001111001011110011000010100101101000001111001000101001001010000111000101000110000000010000001101101110100000001010000010010101111111000100001010111010001011111101110001100000101101110110001111100000111001101101101011001011010100011100011000000111011000000111101100010100001010000101010110001110001000111110111011111110011010110100001111100010010101000011101110111110010011111110111001110010001011011101000110001001001110110100110101111000010001101010101100010001100010111100100011010010110100001110000100010011010011100001111110001101111011001000010001011010011110000110010011001110010110000010101000111100001100110110001011101011100001001111101101010001000101001001110100001001011110000101101111101011010111000010110000101101001011100101111001100100110111110110111100010000010100101100000110000111110100111111001100100000001011011000110000110101010011110011000100010111010010000000111100100111101010001000111110101111011110001001111000111110001000011110001000111011001000111111011101111010000001100011110000100010001110100111010010101110111110010100101111110111000000000111110000111110011101100010111011111100111110001111110010000000110011001000010010111100011110001001110011111010111111010000011101000110000111001010011110110110000000001101100110011111001101111100100001011111010100101001111011011101001011110010001101100001010011110001010101000001001001010111000001101110011110010111111100000110010000000001001111011
2024-11-12 06:36:06.580754,g000281,MERZ1999GLS,244,47.485,2880953.2822418,47.493295,110000011110100111110110111011010101010110011111111101011010001111100100000010111111000001111001011010010111110001001110000100110011000100101101110110100011111000011111000011011001011101001011011100110000110110000111111110011000110001110111010001100110110110000100110100111010000011110010100011010011001101111000001100011001110110100100010101100000000111100011111110111010111101000001000001001100011000110110010101011000011101110110000000011011011011000100001000001001110100111001100101010111010001110111001100011100001100101100011000000000111101000111111010000111000110011101001100110011111110001111010101110001110010011001000000000100011111001110101101010110111110111110011010011110110111110001110011000001110011011101111001111111100001010100000111001101111111110011001000111001101001010110100110101100001000001011111010010000000100000000101100000001111110111101011011010110011100010100000000101110011100101100001010011011101001110001100111011111001101001111000101010000110010100111011111110010101100101001000100010000111100111100110100111100100001100110011000000011100011110011011001001110000000001100000111111001001111000001111111100001110011011110000010110100000001101101001111000011110011111100011010111111011011000011110000100101100010111000000001100001001011111000111100001011011100110101110101001100001010001010100010101000000010101000100001000110111111001011101100010110000101011100111111011011010101101110001101111110100000100011100100010011111010011001111010010001100110100110111001110000111000110101001100001100101010111001011100001011001110001110100110111001111010101001001100011100000111010100110101001101011010001101000010011010011100011010001010010110101011000111010000100010101100100101010111111010111000100000010101101110000011100101001101110101101011010101001111101010000001010010101101010011101100010010010001110001111000010000101100011001110101101111011010001110011001101110110010001010001100010110011101011110000111010001010100011010110000010100110001010001000000110001111010111111111010011011001000111001100010100111000011111101000001010100100100000010100101100011111010101101000111110101000010110100011001101110001100011010100101110011011001001100010111101010001100000111001100110000010011110111101111101111000110000011101010000010110110010101010001000001111010110001011101100110001010101000101110000111111011101001110010110010101110001101101101011101000111101000011111100100001011110000001110101101110011100110111011101011011111000000001000000000010100010001010110100110100111100000101001011010001011111011110110010101010101110110100000001100111010000110100101000010110101001010100001110010011001010010100110000010001001110010101001011001000100010111101100011111100101000110111111110110010110101100111111100000001001010000101111110011101101011100011111100111100011001011101111111111100100110001101111111110110001110010110010111010110111010011110010111010101000110001110011001001001110101100000100011001010101010001110010010111100010111000101111011001011001011011111101001011001110001001110101100001000000000101001011001001000101010011100001001100010011111101000101001101100011011100001111010100111111010101111100000100110001001100110010001101101100100111100111100100111111011110100010101111101001010010100000010010000011001000101111110010001011010000011011100000100111110111111011100010100001110011010011000001110000000011000101111001110011111100011110110110010011110111110101101011100100101011110100011100101011001110101011000010111010101000001110011000110110110001101010001100110110110000101010100100001001011110001110001100101000100000111000001000000010100010011110000111110001000010101000111011001000010110100000111011111001100011000111001111010010010110000101110100111011010001011010111000111011001011100100010100001110011011100010110010010000001111001111010001
2024-11-12 06:36:54.453322,g000281,MERZ1999GLS,344,47.485,2879930.95233515,47.487647,101011110000000101100011110110101000001101101010101101000001010010011100100010001001111000100101010000001111001010100111011010000100101000001101000000010000110110101101100100000011110110101010000011101010110001011001010001100111110010011100100011110111000010010010001000110101011100010110101101001100110110111010110010000000100000011111000101001111010111100110110011001101011011001010100111110101011010011111011110010011010001011001111010001010111111000010101111100010000111001000011111111101001110100000111101000011101110110010101011001000100000101100011001011101101010011000010001011111000000011001101110111110100101111011101101101110010000110111001110011111000100100111110100111111101111100010010001100111101010001100010110010001010110010010100100000110110100111110110111001010101111011011000110110110010011110111001001110111111111110111010110111011110101111111010000001011100010110010101101011000100101001000101100110111010100100111111100110100110011100110110111011110000010100000010000010011110110010001111010010111101011010011001110110011111110011110000011000010111000010010000110110101011001100111001110001000010110000000011011100110000110100001011010000111100010000000000010101100111100000111111101000000111010111100001011011011111111100101101011000001011101100010001101010011110111001010001101111011111011110011010111110111111010011010100010111001101010110000011001010111111000001110111001000111001111010110010011111001011001011100010110110001100000100110001010010111001001011101110001100111000101011010110110111010111101011001010000010111100010100011101001000000101011100010110000001100110000001100000111100110100101010001110011100010010111010011111011100101010000001110001110001101101101111100010110001010100001011000010011110010001100111000101110010111011111110110110100001000001110000101001011111111001010001111110000111111000101000010011110000001010111101000011111010101101000000111001011000010111001110011100111011000011010100110000110001001000111100110110000101110100010101110100000000100011001101010011010000110010101101101101101110011101011110100000100111101010010000001100011101000110010110001101011101011100010011110110100100111101000001101000000110001000111000011111001100110000001101110011110001010100101010000011101100100011100001100001111001000101010001001010101110011100110110001000110010011110001110010001100110100111100110001000111010011110000110000111100111101000101000010110110001100101011000011101000000110101101011010001010100101100000101101010100011110111011110011010000101010001010110101111001000000101010101001110101111111001111100101001100001100000100101100000011000000110011010010101011101011010100011110000100001110000110010110001100010000000110111001100101101110100110001010111111010101000010111100110111010101011010111100101001111111100101011001011101000101111101011101001000001000001111110111101101101110100000111100010000101101001101011110111110110111000101101000011101100001001111100110101110111011001001111010010011110101011010111110100000100100100110101100101001100010001011110011011001000110001001101100101100011000100001101011110100110010100101101001110000000000011001101010010011010010111110101100000110101000111100010110001111111100101111010001100101011110011101100100000011011010110001001001010101001101010001010000100001101011010101101000011010110100010000111111010100100101101011001000111111110011100010000100001110010100010001000110010110111111001110001101111011100101100011011101000101001011011111011000011111111111100001100110010100011000101101011011011101010010111011011110010101000111011111100011010110010000001101001100101111001010100101100010101110010110111101110110111111110011010001100001010001101010100110000110001000111100001110100100100110111000000000000111000011110110011101101111000001100001110010101011100001011110100110100111
2024-11-12 06:37:42.367208,g000281,MERZ1999GLS,444,47.485,2883101.0375211,47.486605,111100010111001110110011100101101000111010000100100100110101100101110001011110001101000010000111110011111011110101011001011011000101110100111001101101011001101000010011110100110100100001111011001010101111111100110101101000000000011011001011100111111010010010001001111000100101010110010000011110010001000000000000011001101001100111110011110111101010010000000100001111010101100101110110110111110111100111000011110101111100101110011100110010111011001111110101110000111001000001001011001011111101110000000010011101100100100101110000100101000011010010100100011011000111011110011011111001100010101100010010010001100000011000010100011100100110111100111010101010110010000011111110011100101101010010100100111000101001111010111111111101110000111100000000000000101101000111001110100010100100011000101101101111000110111111100011111110000000010001100000011110001001100000100000010101011100100110101101000001000110101010111110010100110100100110110000100011011011011111000011011000100100001001000001110000100010101000110110011101100111001001101100101001110010010111100001111111011010100110001100101011111000111110101001100010010111111111011100001101001011001010010011111010101010110000110101001000111011111100010000001011010110101000011011010011001100011110101011110000111111001000111101110111101010111000110000111010100010100001000011000100001001010111111011011011111001110010101010100011000000000100000010101100000101110000001100011001101101011100101011001100000110111011101001111000111000111001000110111011010111111011100001101001101101011101100101010001011111100010110011000100101011111100100101101001011000001011110011000000110100101110001011011001111011010101000011100001010111110110000000100010001001100110000001000100001110010011001111001010110100011001100010000010000101110010001111011110100000011110110110111110000010000101100111111011010111101000010110110011011010001110010011101110010111011001000000110100010011011111010111110110001011010111100100011100000110010110011101011101010111001000000000100001111011100010011100010110011111100111101010100001001111101100001110110000000010001100101110010101111010101010000100001000000100111100001011011100111001101011100000100101111110010110110001110011100001110101100000111111110000000111110000010011011110001011011010000000010111001011111100011110010111111011110101110110001101001010000111000001010001111001000010110100001111000110011011010100100011111011111001011110110000001101101000100110001110000001000111010101100101111110100011001100100110001101000101101000000011100101110110111010110010111100010000111000011011000101011011110001001001100000000010101111010110011000011001010111011011010011101101010011001111111001100011001110010110110000010110000010101011110110101101100101000111011010001000100101000110111100001000111100101100000111101110110000010000000111111000011001101010111011001111111111101000101011110001111101001011111000011001100001000101110100000000111010101110010111001100000010101101111011010101101011111010100011011001010000110001001010111011101011000001001111010111111111000100111001001000011000001110000110010001101111011011101111010100010011100110010000110001011100011001111101000101110001111010011010101101011100010111001000111010110011110010101001101011100101001011110101011011101101100011100001110111001100111010110001011110001001100111010110001101101011110101001110111110101111110100100101011000000110000011011010101101100110001001001000101011000111000011001010001010001010001010100110101100111110010110110110110100001110100100110001110100100010000000101001001100000010111011110010000001101100001101000110011101000101101111110101011001100111010000010101001111001000011101000010011010101011110011000010110000011111000101111100100101111111110000110101100111001000010100000110011011111100001001100000001011001010010101011000001111
2024-11-12 06:38:30.261619,g000281,MERZ1999GLS,544,47.485,2879941.80003536,47.489625,111010011010111010110111101111011111110110010110110100011010101011100100001011101101010111010011011110110001100001110111100000011111100110011111100111100110111000000011011011010101011101101011010010100000011010000111101010000000111101100010101000111111111100000010111110000010000011001000110100010101011110111000001100001010010101101011110100010000000111000111101101111010111100000111110101011110010110101110111101101001000100001101100011100011101111001111101000001001111000011011000011010000010001100101011001101100011100101100111000000000111111110011001110001101000100111101011101100100101100011011011011100100000010011101010000110000011111101100001110010001111010011010000001111110110001001101011000000101110011011111001101110111000100000000100011010001001111000000001010110100100011111111110100110110101100001011110110100100000100001001010000000000111000111111011010001100010010111110001100101100001000100101010011000010110101011001000110011111001000001010001100100000000010100111111101011010011010111001010110010100001001111110110000110100110010000011011101000010001100000011101011111101001010111100000111110100101111011010011011001110010001011111100000100011101010001001011010000010001010111101001111110110010001110011010011001000111010111010100000101011101000001001101111011011011100110101010101011010000110001110001000011000000001101001101100000001111111001011111001100101001101110110111110110101010001111010010110001110100001010011000101001110111010010001011101011000110000110010011101011101111010011101001101001000001101100001111101110010111110100110001100001001101000100011110100011111010111000011100100110000001110001101000000010010011101011010001001000111001011001111011010001111101011111000110101111000111111101010001101101101001111011011100001000101010110011001001111100110101001111000101101110001100111110110010010010010100000010110011001011001110101101101111010011100000000000011110111010010011100000111010000001010000111101101011100101100011001000110010001011000010101001101001000111001000110000001111110111101000001000111111011111001110010010111110101001010101101100110110001011011011010010101101100100100111010100001101001011000101101110011010101000001000011100001000100100011101010100100110011100011010111100011010110010100111010000010100110110101010000110000000111111101101011110101101010001001011011000111011110011111110001011011111110111011001111011011100101101011001011111011000001111011001110111111100101001000110010101010011100011110000100110010111010000001000111101100111111010101101001010110100010110111110010010001010100000010100000110010110000011101100101000001111110111110100011100101001101111010000111100100111110100011110000101111110010100101101001100111000110000100110000100000010011101011011101010010001000011010001100100001000010000001101100110101110011110101001010010101111100111101000001101100100011000101010011101010000011111011100010110011001001010001111110100111010111111000100100011001000101111001010110000111111011110010010011001011011111111011111001011011111001001000011000010010010000001001001011001001101011010111101001111000000001000001010001010100001111001100000101011101001100110101110011011000111011110100101001101110000101010011001101100100010110011011101010000001111100101111011011011010101110001000101111110110111100010100010111010001000101000011100001001000110101111010011111010100000000010011111101101111101001011100110010101010100011101001111001100011000110000010001100101101010011110110100000100111110010101100011100001100100110101001101010101000100011101100100000100011101010101101000110010000110010101110110101111001110000110101000011101100011000101001100000100101001010000100101100101011100110010111111101110111011000000111101111010101011110001011101010010110101110100100000010010001011010111100000000110110011010000011111011110101
