timestamp,graphname,heuristic,seed,limit,objective,runtime,solution
2024-11-12 15:27:30.719723,g002951,BURER2002,144,0.05,258.0,0.050496,00010101101011001100101100011111010100110001110010011011000011101101001111010111
2024-11-12 15:27:30.775932,g002951,BURER2002,244,0.05,258.0,0.050662,00010101101011001100101100011111010100110001110010011011000011101101001111010111
2024-11-12 15:27:30.831174,g002951,BURER2002,344,0.05,258.0,0.050467,11101010010100110011010011100000101011001110001101100100111100010010110000101000
2024-11-12 15:27:30.886757,g002951,BURER2002,444,0.05,258.0,0.050345,11101010010100110011010011100000101011001110001101100100111100010010110000101000
2024-11-12 15:27:30.942009,g002951,BURER2002,544,0.05,258.0,0.050188,00010101101011001100101100011111010100110001110010011011000011101101001111010111
