timestamp,graphname,heuristic,seed,limit,objective,runtime,solution
2024-11-13 16:42:57.291989,g001637,BURER2002,144,0.025,394.0,0.025571,0011111101011011111100011000110010111101111110101001010101010100101001011101001010101000110101100101010101001010101010101010000000111010100111010010000001010111110110010010011000011001
2024-11-13 16:42:57.320247,g001637,BURER2002,244,0.025,397.0,0.025109,0011110010100100011101011000110010110101111110101001010101010100110101011101001010101000110101100101010101001010101010101010000000111010011000101101111100110111110110000001011001011001
2024-11-13 16:42:57.348220,g001637,BURER2002,344,0.025,396.0,0.02513,1100000010100100011101011000110010110101111110101001101010101011010101011101001010110111001010011010101010101010101010101010000000111010011000101101111110101001111001000001011001011001
2024-11-13 16:42:57.376118,g001637,BURER2002,444,0.025,397.0,0.02509,0011110101011011100010100111001101001010000001010110010101010100101010100010110101010111001010011010101010110101010101010101111111000101100111010010001100110110000001111110100110100110
2024-11-13 16:42:57.404417,g001637,BURER2002,544,0.025,397.0,0.025504,1100001101011011100010100111001110110101111110101001101010101011010101011101001010101000110101100101010101001010101010101010000000111010011000010010000011001001111110010011011000100110
