name,experiment,type,durationLoad,bits,size,durationBuild,samples,temperatureStart,temperatureEnd,offsetEnergy,durationSample,scalingFactor,durationScale,roundedToZero,notUsedBits,l1Norm,l2Norm,durationCheckRounding,runs,iterations,durationSolve,durationAnneal,durationLibrary,cut,tgt,rate,durationEvaluate,duration,baseline,timeRate,solution
g001954,0,int,2.6358090000000001e+00,624,2952,2.3528119999999997e+00,96,1.7569394044280407e+03,4.6361407003572384e+02,8.6312433226495727e+02,1.0025037499999999e+02,1.0000000000000000e+00,2.1477900000000001e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,4.3655699999999997e-01,64,1498674,2.4356676499999998e+02,2.0682612609863281e+02,0.0000000000000000e+00,3.8340000000000000e+06,,-1.00000000e+00,1.8512999999999998e-02,3.4833625499999994e+02,-1.0000000000000000e+00,-1.00000000e+00,0101010000000001011111111110101111111111110000000000010000000000001111111111111111111111110000000000000000000000001111111111111111111111010000000000000000000000101111111111111111111101010000000000000000000010111111111111111110111100000000000000000000110001111111111111111111100010000000000000000000001111111111111111111111111000000000000000000000000011111111111111111111111110000000000000000000000000111111111111111111111111100000000000000000000000001111111111111111111111101000000000000000000000010111111111111111111111111010010000000000000000000100101111111111111111111101110000000000000000000010100111111111111111101101010
g001954,1,int,2.6358090000000001e+00,624,2952,1.2251580000000000e+00,96,1.7578568733557486e+03,4.6385616802876439e+02,8.6357505341880346e+02,9.6624555999999998e+01,1.0000000000000000e+00,1.4338769999999998e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,5.4441299999999992e-01,64,1532441,2.4657494000000000e+02,2.1059306335449219e+02,0.0000000000000000e+00,3.8350000000000000e+06,,-1.00000000e+00,1.4138999999999999e-02,3.4587266999999997e+02,-1.0000000000000000e+00,-1.00000000e+00,0101010101111111111111111110001010000000000000000000111101111111111111111111000000000000000000000000111111111111111111111111100000000000000000000000001111111111111111111111111000000000000000000000000011111111111111111111111110000000000000000000000000111111111111111111111111100000000000000000000000001111111111111111111111111000000000000000000000000011111111111111111111111110000000000000000000100000111111111111111111010111110100000000000000111000000010111111111111000011111111110000000000011110000000000011111111100000111111111101000000011111100000000001111111110000001111111111010000000111111000000000101011111010000011111
g001954,2,int,2.6358090000000001e+00,624,2952,1.0618829999999999e+00,96,1.7577073599008627e+03,4.6381671502249117e+02,8.6350160256410254e+02,9.6988479999999996e+01,1.0000000000000000e+00,1.3999379999999999e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,4.5959499999999998e-01,64,1529873,2.4270209699999998e+02,2.0929618835449219e+02,0.0000000000000000e+00,3.8320000000000000e+06,,-1.00000000e+00,1.2333999999999999e-02,3.4216473199999996e+02,-1.0000000000000000e+00,-1.00000000e+00,1111010100000001000000000000001011111111111111111111111101000000000000000000000010101111111111111011111111010000000000000001000000001111111111111111111111111000000000000000000000000011111111111111111111111110000000000000000000000001111111111111111111111110000000000000000000000001111111111111111111111111000000000000000000000000011111111111111111111101100000000000000000000001101111111111111111111111000000000000000000000000011111111111111111111111110000000000000000000000010111111111111111111111101000000000000000000000010111101111111111111111100000011000000000000000001111101011111111111111111000000101000000000000010011111
g001954,3,int,2.6358090000000001e+00,624,2952,1.0603659999999999e+00,96,1.7620840264893352e+03,4.6497161211521785e+02,8.6565170940170935e+02,8.6109949999999998e+01,1.0000000000000000e+00,1.3934210000000000e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,4.7057899999999997e-01,80,1248080,2.5180874000000000e+02,2.1368670654296875e+02,0.0000000000000000e+00,3.8590000000000000e+06,,-1.00000000e+00,1.3947999999999999e-02,3.4038642500000003e+02,-1.0000000000000000e+00,-1.00000000e+00,0101010000000000000000000110101111111111111111111100010000000000000000000001111111111111111111111111000001000000000000000000011111101111111111111111110000000000000000000000000111111111111111111111111100000000000000000000000001111111111111111111111111000000000000000000000000011111111111111111111111110000000000000000010000000111111111111111111011111100100000000000000000000001101111111111111111111111000000000000000000000000011111111111111111111111110000000000000000000000000111111111111111111111111100000000000000000000000001111111111111111111111111000000000000000000000001011111111111111111111101100000000000000000010010101
g001954,4,int,2.6358090000000001e+00,624,2952,1.1514629999999999e+00,96,1.7591005534577523e+03,4.6418434530821941e+02,8.6418603098290600e+02,9.2416592999999992e+01,1.0000000000000000e+00,1.4441139999999999e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,5.2550600000000003e-01,80,1208507,2.4641247799999999e+02,2.0785693359375000e+02,0.0000000000000000e+00,3.8310000000000000e+06,,-1.00000000e+00,1.3833999999999999e-02,3.4143848199999996e+02,-1.0000000000000000e+00,-1.00000000e+00,0100000000000001000000000111111111111111111111111100000000000000000000000001111111111111111101111111000000000000000010000000011111111111111111111111110000000000000000000000000111111111111111111111111100000000000000000000000001111111111111111111111011000000000000000000000101011111111111111111101010000000000000000000010101111111111111111111111011000000000000000000000000011111111111111111111111110000000000000000000000000111111111110111111111111100000000001100000000000001111111111000111111111111000000000001100000000000011111111101001111111111101000000001110100000000010101111111010101111111101010100000101010100000000101010
