name,experiment,type,durationLoad,bits,size,durationBuild,samples,temperatureStart,temperatureEnd,offsetEnergy,durationSample,scalingFactor,durationScale,roundedToZero,notUsedBits,l1Norm,l2Norm,durationCheckRounding,runs,iterations,durationSolve,durationAnneal,durationLibrary,cut,tgt,rate,durationEvaluate,duration,baseline,timeRate,solution
g002359,0,int,5.5085951999999999e+01,706,85162,3.4683850000000001e+00,96,1.3783449951753795e+02,3.7131992759827192e+01,6.9409254013220021e+01,7.7005267000000003e+01,1.0000000000000000e+00,3.4812319999999999e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,7.2115299999999993e-01,128,4980248,1.3638982739999999e+03,1.2910279541015625e+03,0.0000000000000000e+00,2.9354800000000000e+05,,-1.00000000e+00,1.6673299999999999e-01,1.4480198909999999e+03,-1.0000000000000000e+00,-1.00000000e+00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
g002359,1,int,5.5085951999999999e+01,706,85162,2.3292539999999997e+00,96,1.3775011609996989e+02,3.7109260247566809e+01,6.9366761095372993e+01,7.5956670000000003e+01,1.0000000000000000e+00,2.2407260000000000e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,8.1076999999999999e-01,128,4989153,1.3439094989999999e+03,1.2930325927734375e+03,0.0000000000000000e+00,2.9354800000000000e+05,,-1.00000000e+00,1.5319900000000000e-01,1.4245893480000000e+03,-1.0000000000000000e+00,-1.00000000e+00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
g002359,2,int,5.5085951999999999e+01,706,85162,2.0721050000000001e+00,96,1.3772198829411388e+02,3.7101682743480019e+01,6.9352596789423984e+01,7.6764795999999990e+01,1.0000000000000000e+00,2.2221449999999998e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,7.8215599999999996e-01,128,4986082,1.3613504920000000e+03,1.2920266113281250e+03,0.0000000000000000e+00,2.9354800000000000e+05,,-1.00000000e+00,1.5056300000000000e-01,1.4425601010000000e+03,-1.0000000000000000e+00,-1.00000000e+00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
g002359,3,int,5.5085951999999999e+01,706,85162,2.1688329999999998e+00,96,1.3780637171168192e+02,3.7124415255740395e+01,6.9395089707271012e+01,7.7519817000000003e+01,1.0000000000000000e+00,2.2032609999999999e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,7.8487899999999999e-01,128,4983218,1.3594826550000000e+03,1.2911712646484375e+03,0.0000000000000000e+00,2.9354800000000000e+05,,-1.00000000e+00,1.5669900000000000e-01,1.4415312649999998e+03,-1.0000000000000000e+00,-1.00000000e+00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
g002359,4,int,5.5085951999999999e+01,706,85162,2.1350400000000000e+00,96,1.3775949203525525e+02,3.7111786082262419e+01,6.9371482530689335e+01,7.2331003999999993e+01,1.0000000000000000e+00,2.1997000000000000e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,7.7845100000000000e-01,128,5003418,1.3616195920000000e+03,1.2962777099609375e+03,0.0000000000000000e+00,2.9354800000000000e+05,,-1.00000000e+00,1.7123099999999999e-01,1.4384565669999999e+03,-1.0000000000000000e+00,-1.00000000e+00,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
