name,experiment,type,durationLoad,bits,size,durationBuild,samples,temperatureStart,temperatureEnd,offsetEnergy,durationSample,scalingFactor,durationScale,roundedToZero,notUsedBits,l1Norm,l2Norm,durationCheckRounding,runs,iterations,durationSolve,durationAnneal,durationLibrary,cut,tgt,rate,durationEvaluate,duration,baseline,timeRate,solution
g000539,0,float,4.5476049999999999e+00,2819,7660,2.7216778999999999e+01,96,3.4274336700409152e+16,1.1197612256058328e+16,2.1996496624970020e+16,5.6551783200000000e+02,9.1691832070179420e+15,4.2468663999999997e+01,0,0,8.5800308733918476e-16,4.1744009212181354e-32,7.8021899999999995e+00,80,28236811,5.0538172800000002e+03,4.7112089843750000e+03,0.0000000000000000e+00,4.9007735432238958e+04,,-1.00000000e+00,4.6422999999999999e-02,5.6890669779999998e+03,-1.0000000000000000e+00,-1.00000000e+00,10110111000001101011111100000100000100000101011000100111010001010101000101000110110011001010011010101100101110101110111001100101101011011000110010111010100101101101000000010001010010111101011011000001111111101110000000110101100110011111011001011100101100001000011010010100011011000001001101110001010001001111001001001001000011001001110010101011111100011011101001110111111000111010111111110100100101001001101001111011001101001110010101010101101110011101010000100100101111011011110100010111011011001011011011011000011000110110000011111101111111001001011110011001011101000010011011110101001011101111101111000010001010101010101001000100011110000000000011100001001001101100101011101001100010110111110101001000110011101111001111001111010001000101001101011101011111000101110101011101100010011011100101001110100010100000010110110010110001011111000010000111001100010010100011010011110110001010001010100101000111111110000100001001001101100100010011000011111110110001011000010001110010110101011000011000110100000111100010110010010101101000110100101011011101000011010101101000000111101111000100001010101000001001110001111111010010000010010100110101101100100010001000111000100101101110111010010010111101000010001110011011010011001101000101001101011001000001011001010010110011110000101000111010001001000101000010011101110000101111101011001100101000100000110100110000000110101010100010110110011010101010011100110101010011100100011111000100010010000101100010111000100001100100000100010111000011100110010001100110010110111011110110001010001001111011100100001011000010110101111011110111101011011111110101101111100000101110100000001001110101000100010000011011101001110001000101010010110101111110000000000110001101011110110110100111011010000111100111001001011111010010110110011111110011000011010000001010100111000101000001110000011000111110100111101100100110101111101001011100111011100011110010001111100110010100101100001001100101111111111100111010001010010111110010011100110010100011110010101011011110111000101000000101001011000000010110001001100101111010001000001000011101100010001001010100011101011000001000111011001000001011001001010110001111010001000001100101100011010100011010100100101100000011010111000101000101000100110001111110101000000010110101101100111101001010001001110100000101001001001010110010111110111010110011110011001000010101010111110001111001100000000110010110001010010011110010011110011001110100000111100010000001001001100001101101010011010001001101101001010011000111000100000111111000001111111010010000111100001000011001010111110010101011101000000010111010001001111000001010100000011000110010011001001010101110001000001000101000000101011110101111111001000001000011001101010001111001000000100111101011100001100100111110010000100100110001001101011101110100000111101010001111000101000111101010011100101000010001101000011011000000011111000101111001110010011001011010100100100001001000001010000000000001101110000001011011001000110000111001111011000010111010000110001000
g000539,1,float,4.5476049999999999e+00,2819,7660,1.8360983000000001e+01,96,3.4242741483068096e+16,1.1187289926671664e+16,2.1976219526752700e+16,5.5761945300000002e+02,9.1691832070179420e+15,3.1291169999999997e+01,0,0,8.5800308733918476e-16,4.1744009212181354e-32,7.9342400000000000e+00,80,28355976,5.0752136229999996e+03,4.7344277343750000e+03,0.0000000000000000e+00,4.9065256838396584e+04,,-1.00000000e+00,4.2652999999999996e-02,5.6825278820000003e+03,-1.0000000000000000e+00,-1.00000000e+00,10110110000100111001111001000101000110001111011010101001110000100101010001010010011011101011011100101001111110011100111011100110101000010110100111100011000000101101001000011010110101101110110010000001011011010010000100110101110110011100011100000110101000010000101010011000111000010011101100111100000101111101001001001101001111001100110011001011011100010001001011011110011001111100101111101101100010101000100001111011000101000010011101011100101111111010010001100100111010011000110000010110000011001111110010011110001100110110101100100110011001101001100011011001011001010010011011100111101011101100010111101000001111101011100011101000010100011100100110101010111100101000001111000001000000000001010010101000100010111111001101001111110001101001001100011110001011110101110101011000101010001111000011010001100100110000100100100000110000100111100011001100011100101010110010110110110010001110111011101001100111111110110100010000001101111000010010010011110010110101001001000000110010110100011000001001000000000101100100110001011100101001111111001011010101011001010000100001010010011111010100001101000000000100100101111001010001111100110100111100101000001010000100011000100101100110111010011011111101111011110110101010100001111011110001000111010010000100010011101010100011110000111000101010101100001101000011111110010010010101101001011010001110110001100100100001011010001011111001100111011100101010101000010111010011110100111100001100110000000011011011011101000010111100000000000011000001101100000010000110011110011110110110001011011010110011101100000101001110110101110110101010100010111101111100001100000000000110100100110100010100011101110100000001001001011001100001010000110100001111100100010011010101111111110110101111011010100110110111011011110110001000100100011111110111010011011000001110101111000001000001010001001000111101100111100100100110101111000001010101111001100001110010011011000100100000000000101101000101110011111100101111001010110111100001011000011010111011000011001011001110110101100010000100001010101100011110000010000100110010101001001010000100111110000100000100000101111000101100010000011000001111001001010101101101000001100101100100110011110000011011111100101100001011000110000110010101010100110101111101111000110100101101011110110100000011001100100000100100001010000100000000010010101111000010001011001000010000001000001010110000100101001010010110001000111010100010110010111000110000000001010100010001010010101001001000111011000001001100001001000011110000110000010110011110011011011010010111110101000000011000101111011110001011000000011011101110000011011000011110000001111100010100001001101110001000011000011100011010100101101110100101110101001100100011010100011001101101110001111100001111100001101000011100100000100100010101100001000101011001000101000010000110101101100111101000011100100111110101101000111011000110011111000111100001110000011010010110010001100110101101000110010000000110100100001011101111100100000011001000011000101110011110000000000101
g000539,2,float,4.5476049999999999e+00,2819,7660,1.8279308999999998e+01,96,3.4224329720757116e+16,1.1181274703762724e+16,2.1964403272770212e+16,5.5745130899999992e+02,9.1691832070179420e+15,3.1091840999999999e+01,0,0,8.5800308733918476e-16,4.1744009212181354e-32,7.9248969999999996e+00,80,28358271,5.1416199809999998e+03,4.7343686523437500e+03,0.0000000000000000e+00,4.9036062457281223e+04,,-1.00000000e+00,4.1480999999999997e-02,5.7484839210000000e+03,-1.0000000000000000e+00,-1.00000000e+00,11110100011100110101101001100111000010101111001110101001110100100111010000110010000010101011011100101101001011011101001111100100101000001000110111100001101100000101000101001011110101111011110110100011011011100000011101010100111111010110110100100001111100011000101110011011111000001011111100111100000101110101001000001101001111001100111001000111010100000100001011010100111010011100101111001101101110101000000100001110000101000010011101111000100011111010000100110010101001001001011100110100000111101001011011101110001000100111100011100011111001101111101001000001011001010110111111100011101011001000001110101100000010101011100011100000010100010100100110101000101110001001101111110010000000101001010010100100100010110111000100001100110101100001010100010010001101110101000101000000111010001101001001010001100100001010100100100101010100100111000001001101111010101000111010111110110010001010111101001001100011001101001101011001101001111000010000110010110110111101101111000000100010110101011010001001000000001101110001010001001110111111011000001011000001011000001110100011000100001001010100011101010001100000010101101000000010111000100001001101100010001100000110011111110101101110101110011001100101101010100110101110110111111011100000001011000011000110100011100010101001010000101010101010111110001111010011110010110010110100111001011010011111110001010010100000010011001000101000100110010110000010111001000011011001110000110011001100010100000011011011000101001110111000000001000011101011110100100110100110001111010101110100001011001010100011101010010101001110000101110100111010100010101101110000001110000101000001101100111100011100101101110100000001101101011001010100010101010100011111100100011011010111011010110110001101011000100010100001110001110100000010100110010100110111010011010000000100100110010001001011110101010000101101100000000101010010010101011000110000110011000011010011001010010100110000000000001110010101100110111110011010001010010111001001000000011110011011101011111011001011100110000001000000001000001001011110000100100100001000011011001000000100111010000101010101000100111100101111010000010000010010001000010100111011100010011101100000000111110010011011111100111101011011000010000100010111110000010001101101011000110000111101111100110100010001000000010101000000001010111100001000001010101100110011001001110000000010001010100010111000110100001000000101000011111010110000100000110011111000001001010000010011010010111001001010111001100000100111010010000011000000110000000010111110110001001010000111110101011000001001101111001110001111011000010011101111010111110001001010011101011000011010000101000111001100001101011001011000010001101100110001111101001101100111011100001000000001010001101100000001100000111000011101110010100111110100100001001100111001100100010110010011111001100101101000011100110111111101110011111001000101011100010111000011100001111000110110010001000110101100111111110100010110000100001000100111101101101011101011110000101010011110000101010110
g000539,3,float,4.5476049999999999e+00,2819,7660,1.8345136999999998e+01,96,3.4206384071629008e+16,1.1175411762566334e+16,2.1952886159720596e+16,5.5232616999999993e+02,9.1691832070179420e+15,3.1007472000000000e+01,0,0,8.5800308733918476e-16,4.1744009212181354e-32,7.9125329999999998e+00,80,28390814,5.1487942219999995e+03,4.7412060546875000e+03,0.0000000000000000e+00,4.8995230062416696e+04,,-1.00000000e+00,4.1509999999999998e-02,5.7505145109999994e+03,-1.0000000000000000e+00,-1.00000000e+00,10111011000100011110011110111100111100000111111010000011001100011001001101111111001011010101110111001110101110001000100000000001110110011110100111011100000011101010011010010101011010010100000001110111000101011010101000001111101011000110001011110110000101000111110010111100010100111010100100001011100001001001010111110101100101000101011010101010100110110000110100010011010001010010001010101010001000000010011011110010101011100101010110001100011110011001110011101100100111110100001010101011011000100101001000010100010001011010110110111000110101010001000011001010010100000111100000001110111100011011100000011010011110001001101110011010000111001111001000111010010111000111000111101110100011110110111000010011000100111011011001110101111100111101110001001010010000010000111011011111000000100100110111000100100000010001111010011110000101011011101111110100001000000000001001000011000100100110001010011001000000100110000101101010001010010110001011011001100000001000001011100000011010000000110110011110100011000101001111010101000100000000010101010000011110001100010001000010101010010111101000101011101010011001111001001110011110010000010100111001001110101011111101101000001110010010001010110000000000010101000001010011000011001100111001001100001001110111000011001100010111110001001001011100001001100111101010001111110000010011011010000101100101110100111000101110101010100000010010111010001000101110000100001110100011010100101100110101110001100111001011000011110001110000010110011111001100001001111101001011011101111010000010100110111001001000001111001100111000100000001110001111001001111100000001100110110001100110000000101100010011000010001011111100011001010110011011011010101001101010010111100011010011001110001111101010001111101011110101111100111010111111111000000001110011010111011010011110111000101111100000010100001101111110011110010011101001101001010010000111010000000100100100010111110111001111110010101101101010011001001011111110111110010101000010011011011001100100110010100010011100011001101011101010011010100101001011110000100011110111001010001110010000000011101001010011001110010000110010101111000000001110010101110001100111011001100111110010101100101100010111010111001011100000010000000001010011001111000110100001000101100010000000111110100101001110001001010100100101010001000010110011110011100110000101111101100010011100111111101101010101101101100111111010101100100011000010000111011000100101100111110010000000101110010010100001010000100000000011101010110110110011100010010011000101001110110010010000011011101000111111011001001011001000000011010110100011001010011101111110110101001010000111111010111100000000110001111000010110000100010111011011001010101000000100001001001011101100001110010000011001000011101100001101100000110000000000001100100010100101101101111000101010000101011001000100000101001011011001110000001010100010100000010001101001001010000010001010111011110001000110000100010010111000010100100101001100101000000010111000111001101010000011001101100001
g000539,4,float,4.5476049999999999e+00,2819,7660,1.8230696999999999e+01,96,3.4240181790899028e+16,1.1186453661315034e+16,2.1974576774023448e+16,5.5366188099999999e+02,9.1691832070179420e+15,3.1008374999999997e+01,0,0,8.5800308733918476e-16,4.1744009212181354e-32,7.9615359999999997e+00,80,28382465,5.1462115539999995e+03,4.7360693359375000e+03,0.0000000000000000e+00,4.9054584007493708e+04,,-1.00000000e+00,4.3076999999999997e-02,5.7491555840000001e+03,-1.0000000000000000e+00,-1.00000000e+00,10110110011000110001101100000100101000100111010001000011110000110111000100010110110000101011011110101100100110001101010100100101111010010110110011101010110100101001000010001001110010111001011010000101011111000010000000110100100101001110010011000010011000001000111010111010111110000000111100101101010101111001001011001100011111101001110011001111111100010101101001111111111010101010101111101100100010000001111011001011001101001110010000011010101001101011010001111100101111011011010000000011011111001011011011011100000000110110101100101010011101010001011010011011011101000101001011110101000011100111000111010000001101101010100111100100001100110100100010101001000001101010001011100011100000101110010000011011110010111110011101001111111101001101101100001110001010010100110101001101101010001011110001000111100000101010000010011010110101011100000011000100011110011110100010011111110110101110001110100101100111111100100100000011001001010000010000110011010000101100001001010000101010110111011100011000010100001111100010110011010000101111101100000111010101000001010001101000010000011101010100001001111000100100101101111111010010110101010000111100101100101000101100011010100101101011110010010011111100101011011110011111100011101111100101000011010011001100010001001010110011110000111010100010111100000101100110110111010010111111101000011011101100010000110110100000001010000110010000100000011110001010011100010001010001011100000100010100000100010111001000111101111010111100000000010111000000100110010011100110001110111111110010001011011010010110101100010100101010110001110110101011101000101100111001101110010110000111100100100100111001010100110000011111101001010011011000011011010100101111110100011011010101111011110111101111001101100111100111100001011101000010110110011010010111000011010010001110101011000001001011110000010000111110110011100100010011110011100001010100011011100001110010011111000110100101101100000111100001110010111110101011001111111101010010001001010110110001110011000010001100100100101110000000011000100100010111000011000101101010101001000000010100110010101000000110010001010100101110100001001000001111001001010101101001101101101001110100010011111000011101110100101000010011010110100111010101010110100101001111001000010110101001111100110101000011000101110100100100001011100000111010110110111001000010000111000000000010011111111100111000101101000111110000000000010011110000110000110011111100000111010110000011110000000001001011111001010001001100001001011010010001100001110110001100011011100101000101110100001000011001010101000010101010101001010010101110001011000000111100100111111010101110010001100101001010001000111000111100000101111110101110110001001000000011001100011001110100110011001110101011100000100100011000110010100100010100110001011101111101010110101010001111110101100011101010001100101011110000101000111011010000001111000001100001110001000000110000000000001100001101000110100010000110110111001010101101000101100101100011010010101000111011000100000000
