name,experiment,type,durationLoad,bits,size,durationBuild,samples,temperatureStart,temperatureEnd,offsetEnergy,durationSample,scalingFactor,durationScale,roundedToZero,notUsedBits,l1Norm,l2Norm,durationCheckRounding,runs,iterations,durationSolve,durationAnneal,durationLibrary,cut,tgt,rate,durationEvaluate,duration,baseline,timeRate,solution
g000697,0,float,1.1807639999999999e+00,664,1572,2.5831439999999999e+00,96,9.4875574014051872e+16,2.5299733542387560e+16,4.7196501990712024e+16,7.3972361999999990e+01,1.5507262585856608e+16,3.0444290000000001e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,4.0898599999999996e-01,80,1404106,2.8969688600000001e+02,2.3964299011230469e+02,0.0000000000000000e+00,1.4550946529301211e+04,,-1.00000000e+00,1.5297000000000000e-02,3.6931211800000000e+02,-1.0000000000000000e+00,-1.00000000e+00,1011011010100001110100010110101010110010100000010101001101110101110111100001011100001001011001101010001010111011011010111110100001101011011011110000000000001000000100101100101100001101010101010111001001010110100001000100011010001110100100001000100010011001000100001110001001010001101111000000010100110110011100000010111011010010110101111000011101001001011101110100101101110001111101100001001000000001010010101100010010010011001100010000100111000011011010011100100001000010100001000011010111110010101010000001101011000000110110010001110010110101010111000100001111010111010010111001010110001111011011100000101011011101010100000000011000110001111111010110000001011001011100000001100011111000011000010011011101100111001001100111000011101011110
g000697,1,float,1.1807639999999999e+00,664,1572,1.3627669999999998e+00,96,9.5092904336782864e+16,2.5357687334108084e+16,4.7304614443427152e+16,7.4303933999999998e+01,1.5507262585856608e+16,1.8133359999999998e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,5.3403800000000001e-01,80,1409706,2.9036624599999999e+02,2.4088594055175781e+02,0.0000000000000000e+00,1.4542888335439411e+04,,-1.00000000e+00,1.1254999999999999e-02,3.6785753799999998e+02,-1.0000000000000000e+00,-1.00000000e+00,1011111010000010111011010110100000110110101100010100001011010011011111000101010101001000110100111100000010110001000111111010101001111001110110110001010010110100100111001101111000001100000111011110001010110111000011001100101010101000000001001000100000111001001010000000000001000100001101001000110100000101010100000011000001001010010101010111000100000001011000110000001101011101011001000100101011010101001011101110010110010111000100010010010100010001001000010100100001000010000001000000010111110000101011000101001010100010001100100101101110110101010011000110100011110111010111110101010010001100011001101100100000011001011100100000111000100000111010110010000000011001101110101101100010011001011000110010011111000011001010100111000010001011010
g000697,2,float,1.1807639999999999e+00,664,1572,1.1735469999999999e+00,96,9.4675816715757440e+16,2.5246465812811064e+16,4.7097131358970544e+16,7.0798354000000003e+01,1.5507262585856608e+16,1.7725709999999999e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,4.3346399999999996e-01,80,1431781,2.8805464200000000e+02,2.4296046447753906e+02,0.0000000000000000e+00,1.4557600345587976e+04,,-1.00000000e+00,1.0832000000000000e-02,3.6180994600000002e+02,-1.0000000000000000e+00,-1.00000000e+00,0110101100100000111011011101001111111000101110110010110010101011001010011111100000110110001100001100000000001101000110010100100111100100101100000000011111010000001011000100010100100001101001001000000011101101100010001111101011100001100000000111010110101110110000010010010101110000101110001011101101010000011001111101010100011100010010111111110100111011011111011000011111101110010000000010110111000101000000000100100000011100110101000001001000101010001000110000000011110000010100101111111010111010101011000100000111000110001100110010000010010011010001000111011001110010001000000011010110110001111000110000101000001011011100000101110101100001001100111001111100000011101001101100100100011011000010010000111001000011001011000000100001111100101
g000697,3,float,1.1807639999999999e+00,664,1572,1.1791650000000000e+00,96,9.4298097624703744e+16,2.5145742392090404e+16,4.6909232418509792e+16,6.3334509999999995e+01,1.5507262585856608e+16,1.7614289999999999e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,4.2566399999999999e-01,80,1478310,2.9686116499999997e+02,2.5041662597656250e+02,0.0000000000000000e+00,1.4562809062240813e+04,,-1.00000000e+00,1.0305999999999999e-02,3.6314657499999998e+02,-1.0000000000000000e+00,-1.00000000e+00,1110001110100000111100011011001111111010101010110001110010110111100011001011101000110011001001001011001000001001010010011110101101000110101101110000010001001100001000100100000000101100110001000011000011001100100000000111011010000111100000000101000110001110110100011110011101110100101111000000101100111010010101011100101110110000010010111101111101011011011111011100111110100000110100110010110100000001010000000100101010011000111100000001101111101010011010111000000011110000110100101010111101110010101000100000100111100101110110110010010010010011000111000101011101010010001010101011010110111011111001110000101011011111010100000101010101110001000101011000111101001001001001000000000001011001000010010001111001100011000000000100100011001100101
g000697,4,float,1.1807639999999999e+00,664,1572,1.1773479999999998e+00,96,9.4663124543752320e+16,2.5243081289732912e+16,4.7090817551359568e+16,6.2169370000000001e+01,1.5507262585856608e+16,1.7442110000000000e+00,0,0,0.0000000000000000e+00,0.0000000000000000e+00,4.3513799999999997e-01,80,1485670,2.9725785800000000e+02,2.5155148315429688e+02,0.0000000000000000e+00,1.4556743583827971e+04,,-1.00000000e+00,1.0565000000000000e-02,3.6235935200000000e+02,-1.0000000000000000e+00,-1.00000000e+00,0011111000100010111011010100101000110000101100010100001111001011011110010101010101001100110100101100000010110001000111110000100011111001110110010000011110010000100111001100111100000001001111011100001010110111100011001100101010101000000001001010110000111001001010000000000001000100001110001011110100010100010000100011000001011110011101011111010100100011011000110000001101011111011001000100101011010101000011101100010100010101000101010000000100000011001000010100100001000010000001000100010010111000101001100101001011100011001100100101101110110101000001000110000011110111010101010101010010000100010001101100101000011001011100000000111000100001111010110011000000010011101110101101100110011001011000110010011111000011001010100111000001011011010
