name,experiment,type,durationLoad,bits,size,durationBuild,samples,temperatureStart,temperatureEnd,offsetEnergy,durationSample,scalingFactor,durationScale,roundedToZero,notUsedBits,l1Norm,l2Norm,durationCheckRounding,runs,iterations,durationSolve,durationAnneal,durationLibrary,cut,tgt,rate,durationEvaluate,duration,baseline,timeRate,solution
g002726,0,int,6.0416899999999996e-01,187,463,7.3389099999999996e-01,36,3.0074085111270781e+05,6.2055487541432143e+04,1.1176182667855019e+05,8.3470189999999995e+00,1.0000000000000000e+00,2.5888099999999997e-01,0,0,0.0000000000000000e+00,0.0000000000000000e+00,3.9588999999999999e-02,16,82784,2.4848323999999998e+01,1.5626584053039551e+01,0.0000000000000000e+00,1.3446287900000000e+08,,-1.00000000e+00,8.6299999999999988e-03,3.4196744999999993e+01,-1.0000000000000000e+00,-1.00000000e+00,10010110001111110001001110001101100000011100111101100011001101010000000100110100101010101001011010001010011101010011101010011010100111000100101101101011001010000001010100111011010010001101
g002726,1,int,6.0416899999999996e-01,187,463,2.8129699999999996e-01,34,3.0206823225786007e+05,6.2329382104844335e+04,1.1225511031770997e+05,7.8956869999999997e+00,1.0000000000000000e+00,1.4773000000000000e-01,0,0,0.0000000000000000e+00,0.0000000000000000e+00,3.8619000000000001e-02,16,100290,2.3624478999999997e+01,1.5251946449279785e+01,0.0000000000000000e+00,1.3510215900000000e+08,,-1.00000000e+00,4.3019999999999994e-03,3.1953494999999993e+01,-1.0000000000000000e+00,-1.00000000e+00,10010010011011111001001010011101101000011100111101100011001101010000000100110101010110101001011101001010011101010011101100011100100111000100101101101010011001000001010100111011010010001101
g002726,2,int,6.0416899999999996e-01,187,463,2.6694899999999999e-01,36,3.0169795115110511e+05,6.2252977537516555e+04,1.1211750582293523e+05,8.0286949999999990e+00,1.0000000000000000e+00,1.5241299999999999e-01,0,0,0.0000000000000000e+00,0.0000000000000000e+00,3.8138999999999999e-02,16,96005,2.1460342999999998e+01,1.4909178733825684e+01,0.0000000000000000e+00,1.3601711100000000e+08,,-1.00000000e+00,4.1449999999999994e-03,2.9912544999999998e+01,-1.0000000000000000e+00,-1.00000000e+00,11000111000111110101010111000000110100011100111010100111011011010110101000110110101001101001011010101010011010110100010010011010100100110101011010101011001110100101010100001000100010000101
g002726,3,int,6.0416899999999996e-01,187,463,2.6417900000000000e-01,34,2.9949949581384554e+05,6.1799343728584558e+04,1.1130051211072665e+05,7.8684539999999998e+00,1.0000000000000000e+00,1.4045600000000000e-01,0,0,0.0000000000000000e+00,0.0000000000000000e+00,3.8025999999999997e-02,16,101364,2.1122588000000000e+01,1.4482133865356445e+01,0.0000000000000000e+00,1.3555729000000000e+08,,-1.00000000e+00,3.8689999999999996e-03,2.9399546000000001e+01,-1.0000000000000000e+00,-1.00000000e+00,01001001010111010110011111011100110000100111110010111110000001010000100100110110101010101001011010111010011010101011110101000100100110110100100101101010100111111110101011000100101101110010
g002726,4,int,6.0416899999999996e-01,187,463,2.5926299999999997e-01,36,3.0394065511702932e+05,6.2715741699756596e+04,1.1295094328579916e+05,7.6314240000000000e+00,1.0000000000000000e+00,1.4182599999999998e-01,0,0,0.0000000000000000e+00,0.0000000000000000e+00,3.8122999999999997e-02,16,108699,2.1583893999999997e+01,1.4987126350402832e+01,0.0000000000000000e+00,1.3527549000000000e+08,,-1.00000000e+00,3.9350000000000001e-03,2.9620341999999994e+01,-1.0000000000000000e+00,-1.00000000e+00,11000001100101010110011111101100010001011001001110101000110000011000010100110100101010101001011010101010000010110100010010111010100100110101011011101010001111100101010101000100100101110010
